,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
3555,1998,Perodua,Kancil,Used,Automatic,0.8,2018,137500,5800
3556,2007,Perodua,Kancil,Used,Manual,0.7,2018,57500,6800
3557,2008,Perodua,Myvi,Used,Automatic,1.3,2018,62500,22800
3558,2008,Perodua,Myvi,Used,Automatic,1.3,2018,82500,25800
3559,2010,Perodua,Viva,Used,Manual,0.7,2018,52500,12800
3560,2012,Perodua,Myvi,Used,Automatic,1.3,2018,57500,31000
3561,2011,Perodua,Myvi,Used,Automatic,1.3,2018,42500,26500
3562,2012,Perodua,Myvi,Used,Automatic,1.3,2018,52500,33900
3563,2011,Perodua,Myvi,Used,Manual,1.5,2018,22500,32800
3564,2009,Perodua,Viva,Used,Automatic,1,2018,57500,15999
3565,2012,Perodua,Myvi,Used,Automatic,1.3,2018,40000,38500
3566,2011,Perodua,Alza,Used,Automatic,1.5,2018,67500,36800
3567,2005,Perodua,Kenari,Used,Automatic,1,2018,87500,12900
3568,2011,Perodua,Viva,Used,Automatic,1,2018,40000,25000
3569,2008,Perodua,Viva,Used,Manual,1,2018,70000,16500
3570,2004,Perodua,Kelisa,Used,Automatic,1,2018,110000,14900
3571,2005,Perodua,Kancil,Used,Manual,0.8,2018,100000,7500
3572,2007,Perodua,Kancil,Used,Manual,0.7,2018,80000,5500
3573,2007,Perodua,Viva,Used,Manual,1,2018,102500,10888
3574,2010,Perodua,Myvi,Used,Automatic,1.3,2018,107500,27000
3575,2005,Perodua,Myvi,Used,Manual,1.3,2018,97500,20800
3576,2002,Perodua,Kancil,Used,Manual,0.8,2018,77500,6500
3577,2005,Perodua,Kenari,Used,Manual,1,2018,117500,13800
3578,2006,Perodua,Kenari,Used,Automatic,1,2018,122500,14800
3579,2008,Perodua,Myvi,Used,Automatic,1.3,2018,97500,26800
3580,2010,Perodua,Viva,Used,Automatic,1,2018,47500,19800
3581,2010,Perodua,Viva,Used,Automatic,1,2018,47500,17800
3582,2011,Perodua,Myvi,Used,Automatic,1.5,2018,49000,37000
3583,2013,Perodua,Alza,Used,Automatic,1.5,2018,37500,37900
3584,2007,Perodua,Kenari,Used,Manual,1,2018,92500,11990
3585,2009,Perodua,Myvi,Used,Automatic,1.3,2018,67500,24800
3586,2010,Perodua,Myvi,Used,Manual,1.3,2018,52500,22800
3587,2013,Perodua,Viva,Used,Automatic,1,2018,27500,24800
3588,2007,Perodua,Myvi,Used,Manual,1.3,2018,87500,19800
3589,2005,Perodua,Myvi,Used,Automatic,1.3,2018,117500,17800
3590,2012,Perodua,Viva,Used,Automatic,1,2018,42500,23800
3591,2009,Perodua,Kenari,Used,Automatic,1,2018,77500,17300
3592,2011,Perodua,Alza,Used,Manual,1.5,2018,52500,34800
3593,2008,Perodua,Kancil,Used,Manual,0.7,2018,77500,7800
3594,2003,Perodua,Kenari,Used,Manual,1,2018,122500,12300
3595,2011,Perodua,Myvi,Used,Automatic,1.3,2018,47500,27800
3596,2010,Perodua,Viva,Used,Automatic,0.8,2018,50000,22000
3597,2013,Perodua,Myvi,Used,Automatic,1.5,2018,20000,44000
3598,2010,Perodua,Myvi,Used,Automatic,1.3,2018,50000,28000
3599,2014,Perodua,Alza,Used,Manual,1.5,2018,10000,46000
3600,2011,Perodua,Myvi,Used,Manual,1.3,2018,40000,28000
3601,2012,Perodua,Myvi,Used,Automatic,1.3,2018,30000,41000
3602,2013,Perodua,Myvi,Used,Automatic,1.5,2018,20000,38000
3603,2008,Perodua,Viva,Used,Manual,1,2018,70000,15000
3604,2012,Perodua,Alza,Used,Automatic,1.5,2018,30000,43000
3605,2010,Perodua,Myvi,Used,Automatic,1.3,2018,50000,28000
3606,2012,Perodua,Myvi,Used,Automatic,1.3,2018,30000,41000
3607,2004,Perodua,Kenari,Used,Manual,1,2018,100000,12000
3608,2007,Perodua,Kenari,Used,Automatic,1,2018,70000,17000
3609,2003,Perodua,Kembara,Used,Automatic,1.3,2018,112500,12000
3610,2012,Perodua,Alza,Used,Automatic,1.5,2018,48096,44800
3611,2004,Perodua,Kenari,Used,Automatic,1,2018,167000,13600
3612,2011,Perodua,Alza,Used,Automatic,1.5,2018,50000,40800
3613,2004,Perodua,Kembara,Used,Automatic,1.3,2018,134000,15500
3614,2007,Perodua,Myvi,Used,Automatic,1.3,2018,72500,23800
3615,2011,Perodua,Alza,Used,Automatic,1.5,2018,37500,38900
3616,2011,Perodua,Myvi,Used,Automatic,1.3,2018,27500,33800
3617,2008,Perodua,Myvi,Used,Automatic,1.3,2018,87500,21666
3618,2014,Perodua,Myvi,Used,Automatic,1.3,2018,12500,35666
3619,2010,Perodua,Myvi,Used,Automatic,1.3,2018,72500,28800
3620,2008,Perodua,Myvi,Used,Automatic,1.3,2018,97500,22800
