,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
42,2020,Toyota,Alphard,used,Automatic,2.5,2023,7500,283000
43,2020,Toyota,Alphard,used,Automatic,2.5,2023,17500,295000
44,2020,Toyota,Vellfire,used,Automatic,2.5,2023,47500,233000
45,2020,Toyota,Alphard,used,Automatic,2.5,2023,12500,298000
47,2020,BMW,528i,used,Automatic,2,2023,92500,58000
48,2020,BMW,X1,used,Automatic,2,2023,118777,49800
49,2020,Honda,HR-V,used,Automatic,1.8,2023,117500,4998455
50,2008,Mercedes,C200K,used,Automatic,1.8,2023,127500,42800
51,2008,Mercedes,C200,used,Automatic,2,2023,72500,125800
52,2008,Porsche,Macan,used,Automatic,3,2023,72500,248500
54,2008,Ford,MUSTANG,used,Automatic,5,2023,12500,278800
56,2008,Porsche,Cayman,used,Automatic,2.7,2023,67500,228500
58,2008,Land,Rover Range Rover Sport,used,Automatic,3,2023,87500,258500
59,2014,Porsche,Macan,used,Automatic,3,2023,87500,228500
60,2014,Toyota,Harrier,used,Automatic,2,2023,27500,177000
61,2014,Perodua,Myvi,used,Automatic,1.3,2023,107500,22800
62,2014,Honda,Jazz,used,Automatic,1.5,2023,92500,41800
63,2018,Honda,Civic,used,Automatic,1.5,2023,102500,86800
64,2018,Toyota,Camry,used,Automatic,2.5,2023,127500,65800
65,2018,Mazda,CX-3,used,Automatic,2,2023,92500,59800
66,2018,Suzuki,Jimny,used,Automatic,1.3,2023,87500,81888
67,2018,Mercedes,E250,used,Automatic,2,2023,112500,105000
68,2018,Mercedes,E200,used,Automatic,2,2023,87500,77000
69,2018,Mercedes,CLA200,used,Automatic,1.6,2023,97500,95000
70,2018,Honda,CR-V,used,Automatic,1.5,2023,77500,95800
71,2018,BMW,330e,used,Automatic,2,2023,82500,79800
72,2018,Porsche,Macan,used,Automatic,3.6,2023,27500,239000
73,2018,BMW,330e,used,Automatic,2,2023,147500,81800
74,2018,Mercedes,C180,used,Automatic,1.6,2023,97500,139800
75,2018,BMW,X3,used,Automatic,2,2023,92500,158800
76,2018,MINI,Countryman,used,Automatic,2,2023,62500,159800
78,2018,Lexus,RX200t,used,Automatic,2,2023,62500,199800
79,2018,BMW,330e,used,Automatic,2,2023,67500,95500
80,2018,MINI,Clubman,used,Automatic,2,2023,102500,107800
81,2014,Mercedes,CLA180,used,Automatic,1.6,2023,97500,98800
82,2014,Mercedes,E200,used,Automatic,2,2023,72500,170000
84,2014,Mazda,6,used,Automatic,2.5,2023,117500,38800
85,2014,Mitsubishi,Triton,used,Automatic,2.4,2023,117500,75800
86,2014,Hyundai,Grand Starex,used,Automatic,2.5,2023,122500,83800
88,2016,Toyota,Vellfire,used,Automatic,2.5,2023,92500,183800
89,2019,Toyota,Alphard,used,Automatic,2.5,2023,47500,239800
90,2019,Mercedes,CLA200,used,Automatic,1.6,2023,122500,83800
91,2019,Honda,CR-V,used,Automatic,2.4,2023,122500,65800
92,2017,Mercedes,G350,used,Automatic,3,2023,22500,438800
93,2017,Toyota,Hilux,used,Automatic,2.4,2023,72500,85800
95,2016,BMW,330e,used,Automatic,2,2023,92500,93800
