,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1580,2019,Mercedes,Benz,Recon,Automatic,1.5,22499.5,160000.0
1581,2019,Mercedes,Benz,Recon,Automatic,3.0,32499.5,301000.0
1582,2012,Toyota,Vellfire,Used,Automatic,2.4,97499.5,63800.0
1583,2010,Toyota,Vellfire,Used,Automatic,2.4,104999.5,65800.0
1584,2024,Mitsubishi,Xpander,New,Automatic,1.5,2499.5,99980.0
1585,2015,Toyota,Corolla,Used,Automatic,1.8,124999.5,44800.0
1586,2017,Nissan,X-Trail,Used,Automatic,2.5,72499.5,49800.0
1587,2016,Honda,Hr-V,Used,Automatic,1.8,134999.5,49800.0
1588,2021,Perodua,Myvi,Used,Automatic,1.5,67499.5,45800.0
1589,2020,Bmw,330I,Used,Automatic,2.0,62499.5,167800.0
1590,2014,Toyota,Fortuner,Used,Automatic,2.5,134999.5,83999.0
1591,2021,SUNROOF,2021,Recon,Automatic,2.5,57499.5,226700.0
1592,2018,FULL,Loan,Used,Automatic,1.8,134999.5,62999.0
1593,2019,Mitsubishi,Outlander,Used,Automatic,2.4,72499.5,79999.0
1594,2018,Subaru,Xv,Used,Automatic,2.0,72499.5,52999.0
1595,2017,Toyota,Wish,Used,Automatic,1.8,67499.5,73999.0
1596,2016,Subaru,Forester,Used,Automatic,2.0,92499.5,39999.0
1597,2017,Nissan,Navara,Used,Automatic,2.5,77499.5,58999.0
1598,2013,Honda,Cr-V,Used,Automatic,2.0,124999.5,29800.0
1599,2018,Bmw320i,M,Used,Automatic,2.0,47499.5,115800.0
1600,2023,Perodua,Alza,Used,Automatic,1.5,12499.5,71800.0
1601,2016,Honda,Hr-V,Used,Automatic,1.8,114999.5,49800.0
1602,2020,Proton,Persona,Used,Automatic,1.6,47499.5,29800.0
1603,2017,Honda,Jazz,Used,Automatic,1.5,62499.5,55800.0
1604,2012,Honda,Accord,Used,Automatic,2.0,124999.5,24800.0
1605,2014,Toyota,Vios,Used,Automatic,1.5,124999.5,32800.0
1606,2015,Perodua,Myvi,Used,Automatic,1.3,92499.5,24800.0
1607,2016,/17,Mitsubishi,Used,Automatic,2.0,87499.5,36718.0
1608,2013,Perodua,Myvi,Used,Automatic,1.3,87499.5,19718.0
1609,2014,Honda,Civic,Used,Automatic,1.5,104999.5,21800.0
1610,2017,Bmw,X1,Used,Automatic,2.0,82499.5,53800.0
1611,2016,Mercedes,Benz,Used,Automatic,2.0,62499.5,97800.0
1612,2018,Bmw,X5,Used,Automatic,2.0,87499.5,76800.0
1613,2018,Bmw,X3,Used,Automatic,2.0,77499.5,107800.0
1614,2021,Toyota,Alphard,Used,Automatic,2.5,22499.5,222800.0
1615,2019,Bmw,X3,Used,Automatic,2.0,47499.5,122800.0
1616,2020,Subaru,Xv,Used,Automatic,2.0,82499.5,61800.0
1617,2007,Land,Rover,Used,Automatic,4.2,92499.5,52800.0
1618,2017,Bmw,X1,Used,Automatic,2.0,82499.5,61800.0
1619,2019,Bmw,X1,Used,Automatic,2.0,77499.5,83800.0
1620,2016,Mercedes,Benz,Used,Automatic,3.5,87499.5,98800.0
1621,2017,Toyota,Sienta,Used,Automatic,1.5,92499.5,49700.0
1622,2018,Mercedes,Benz,Used,Automatic,1.6,67499.5,95800.0
1623,2017,Bmw,528I,Used,Automatic,2.0,87499.5,79800.0
1624,2024,Proton,Saga,Used,Automatic,1.3,2499.5,33800.0
1625,2020,Bmw,330I,Used,Automatic,2.0,52499.5,164800.0
1626,2021,Mercedes,Benz,Used,Automatic,2.0,32499.5,264800.0
1627,2021,Honda,City,Used,Automatic,1.5,62499.5,63800.0
1628,2021,Bmw,330E,Used,Automatic,2.0,32499.5,145800.0
1629,2022,Perodua,Bezza,Used,Automatic,1.3,47499.5,39700.0
1630,2016,Honda,City,Used,Automatic,1.5,87499.5,38800.0
1631,2012,Subaru,Impreza,Used,Automatic,2.5,97499.5,68800.0
1632,2016,Kia,Sportage,Used,Automatic,2.0,82499.5,46600.0
1633,2018,Mini,John,Used,Automatic,2.0,77499.5,144800.0
1634,2018,Mercedes,Benz,Used,Automatic,1.6,62499.5,122800.0
1635,2023,Perodua,Alza,Used,Automatic,1.5,17499.5,64800.0
1636,2020,Perodua,Myvi,Used,Automatic,1.5,82499.5,41800.0
1637,2021,Proton,X70,Used,Automatic,1.8,22499.5,62770.0
1638,2020,Honda,Civic,Used,Automatic,1.5,62499.5,89770.0
1639,2020,Honda,City,Used,Automatic,1.5,42499.5,47770.0
1640,2016,Honda,City,Used,Automatic,1.5,62499.5,36770.0
1641,2021,Mazda,Cx-30,Used,Automatic,2.0,32499.5,103770.0
1642,2021,Proton,X50,Used,Automatic,1.5,22499.5,64770.0
1643,2014,Honda,City,Used,Automatic,1.5,97499.5,27800.0
1644,2018,Honda,Civic,Used,Automatic,1.5,67499.5,75770.0
1645,2017,Perodua,Alza,Used,Automatic,1.5,124999.5,32800.0
1646,2019,Toyota,Innova,Used,Automatic,2.0,72499.5,80770.0
1647,2021,Perodua,Myvi,Used,Automatic,1.5,67499.5,45800.0
1648,2017,Toyota,Vios,Used,Automatic,1.5,82499.5,42770.0
1649,2019,Honda,Civic,Used,Automatic,1.5,72499.5,88800.0
1650,2019,Nissan,Navara,Used,Automatic,2.5,87499.5,62770.0
1651,2014,Nissan,Almera,Used,Automatic,1.5,87499.5,16888.0
1652,2019,Toyota,Hilux,Used,Automatic,2.8,97499.5,89800.0
1653,2017,Ford,Ranger,Used,Automatic,2.2,77499.5,50770.0
1654,2017,Honda,Br-V,Used,Automatic,1.5,72499.5,37770.0
1655,2019,Nissan,X-Trail,Used,Automatic,2.0,57499.5,64770.0
1656,2015,Honda,Civic,Used,Automatic,2.0,82499.5,39770.0
1657,2018,Mercedes,Benz,Used,Automatic,2.0,37499.5,123770.0
1658,2017,Toyota,Harrier,Used,Automatic,2.0,87499.5,107800.0
1659,2019,Honda,Jazz,Used,Automatic,1.5,67499.5,56770.0
1660,2014,Honda,City,Used,Automatic,1.5,87499.5,28770.0
1661,2018,Bmw,530E,Used,Automatic,2.0,62499.5,91770.0
1662,2011,Proton,Exora,Used,Automatic,1.6,174999.5,12500.0
1663,2013,Hyundai,Santa,Used,Automatic,2.4,92499.5,29770.0
1664,2017,Perodua,Myvi,Used,Automatic,1.5,67499.5,37770.0
1665,2015,Toyota,Vios,Used,Automatic,1.5,104999.5,38770.0
1666,2017,Honda,Civic,Used,Automatic,1.8,87499.5,60770.0
1667,2012,Honda,Civic,Used,Automatic,1.8,97499.5,27770.0
