,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1394,2019,Perodua,Bezza,Used,Automatic,1329,144999.5,33000
1395,2022,Honda,Hr-V,Used,Automatic,1498,22499.5,90800
1396,2021,Honda,Hr-V,Used,Automatic,1799,52499.5,69900
1397,2016,BMW,X5,Used,Automatic,2979,92499.5,93800
1398,2015,Toyota,Camry,Used,Automatic,1998,134999.5,67800
1399,2014,Honda,Civic,Used,Automatic,1997,104999.5,31800
1400,2021,Honda,Civic,Used,Automatic,1799,62499.5,83800
1401,2019,Honda,Accord,Used,Automatic,1997,62499.5,82800
1402,2016,Honda,Hr-V,Used,Automatic,1799,92499.5,49800
1403,2020,R,/2020/,Used,Automatic,1329,47499.5,36800
1404,2022,R,/2022/,Used,Automatic,1329,57499.5,38800
1405,2015,R,/2015/,Used,Automatic,1495,87499.5,29800
1406,2014,Toyota,Vellfire,Used,Automatic,3456,87499.5,78800
1407,2021,R,/2021/,Used,Automatic,1496,67499.5,59800
1408,2013,R,/2013/,Used,Automatic,1997,77499.5,35800
1409,2015,BMW,320I,Used,Automatic,1998,92499.5,49800
1410,2017,Nissan,X-Trail,Used,Automatic,1997,77499.5,39900
1411,2025,Proton,X50,New,Automatic,1477,2499.5,105000
1412,2024,NEW,Proton,New,Automatic,1332,2499.5,32000
1413,2024,Proton,Saga,New,Automatic,1332,2499.5,32800
1414,2018,R,/2018/,Used,Automatic,1997,104999.5,76800
1415,2021,R,/2021/,Used,Automatic,998,72499.5,30800
1416,2022,R,/2022/,Used,Automatic,1799,67499.5,83800
1417,2020,R,/2020/,Used,Automatic,1496,47499.5,56800
1418,2016,R,/2016/,Used,Automatic,1497,92499.5,36800
1419,2020,R,/2020/,Used,Automatic,1799,82499.5,65800
1420,2014,Nissan,Navara,Used,Automatic,2488,224999.5,36788
1421,2019,FULL,Loan,Used,Automatic,998,82499.5,22999
1422,2023,FULL,Loan,Used,Automatic,1498,32499.5,119999
1423,2017,FU/LOAN,2017,Used,Automatic,1497,124999.5,46999
1424,2013,Perodua,Viva,Used,Automatic,989,77499.5,10900
1425,2022,Nissan,Almera,Used,Automatic,999,22499.5,55888
1426,2020,Isuzu,D-Max,Used,Automatic,1898,52499.5,69888
1427,2012,Toyota,Vios,Used,Automatic,1497,114999.5,22888
1428,2022,Proton,X50,Used,Automatic,1477,52499.5,69888
1429,2018,Bmw,X1,Used,Automatic,1998,57499.5,58888
1430,2017,Nissan,Serena,Used,Automatic,1997,82499.5,60780
1431,2011,Perodua,Alza,Used,Automatic,1495,7499.5,22780
1432,2023,New,Car,Recon,Automatic,2393,2499.5,458000
1433,2018,Toyota,Vellfire,Used,Automatic,2493,114999.5,173000
1434,2021,Toyota,Hilux,Used,Automatic,2755,97499.5,108800
1435,2012,Naza,Forte,Used,Automatic,1591,114999.5,13900
1436,2020,Toyota,Yaris,Used,Automatic,1496,87499.5,57800
1437,2017,Perodua,Axia,Used,Automatic,998,87499.5,17800
1438,2010,Volkswagen,Golf,Used,Automatic,1984,104999.5,46900
1439,2014,Honda,Cr-Z,Used,Automatic,1496,114999.5,33700
1440,2014,Honda,Cr-V,Used,Automatic,1997,87499.5,41780
1441,2012,Bmw,X1,Used,Automatic,1995,124999.5,19800
1442,2012,Toyota,Innova,Used,Automatic,1998,104999.5,29700
1443,2013,Volkswagen,Passat,Used,Automatic,1798,114999.5,13500
1444,1997,Honda,Cr-V,Used,Automatic,1973,184999.5,7900
1445,2021,JBL,Toyota,Recon,Automatic,2493,37499.5,239000
1446,2018,/2021,Porsche,Recon,Automatic,1988,42499.5,315000
1447,2018,Honda,Civic,Used,Automatic,1799,92499.5,62770
1448,2021,Honda,Hr-V,Used,Automatic,1799,57499.5,83770
1449,2019,Honda,Jazz,Used,Automatic,1497,57499.5,57770
1450,2016,Honda,Civic,Used,Automatic,1498,87499.5,70770
