,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
221,2008,Nissan,Grand Livina,used,Automatic,1.6,137500.0,16800.0
222,2010/2014,nan,,used,Automatic,1.8,147500.0,35900.0
223,2014,BMW,320i,used,Automatic,2.0,112500.0,62800.0
224,2012,Volvo,S60,used,Automatic,1.6,122500.0,22900.0
225,2015/2016,Mercedes-Benz,A45 AMG,used,Automatic,2.0,97500.0,142800.0
226,2014/2015,Mercedes-Benz,A250,used,Automatic,2.0,107500.0,78800.0
227,2016,Mercedes-Benz,C200,used,Automatic,2.0,92500.0,99800.0
228,2017,Honda,City,used,Automatic,1.5,102500.0,60800.0
229,2013,Ford,Ranger,used,Automatic,3.2,127500.0,43800.0
230,2016,nan,,used,Automatic,1.6,67500.0,43800.0
231,2015,Toyota,Vellfire,used,Automatic,2.5,87500.0,166800.0
232,2017,Mitsubishi,Triton,used,Manual,2.5,62500.0,51800.0
233,2013,Volkswagen,Golf,used,Automatic,2.0,77500.0,81800.0
234,2018,Mazda,CX-5,used,Automatic,2.2,72500.0,89800.0
235,2016,Subaru,Forester,used,Automatic,2.0,87500.0,42800.0
236,2014,Subaru,XV,used,Automatic,2.0,97500.0,36800.0
237,2018,Honda,CR-V,used,Automatic,2.0,62500.0,95800.0
238,2015,Honda,CR-V,used,Automatic,2.0,132500.0,58800.0
239,2016,Perodua,Myvi,used,Automatic,1.5,97500.0,34800.0
240,2015,Mercedes-Benz,GLA250,used,Automatic,2.0,82500.0,110800.0
241,2016,nan,,used,Automatic,2.0,82500.0,61800.0
242,2013,Kia,Cerato,used,Automatic,2.0,102500.0,28800.0
243,2014,BMW,X5,used,Automatic,3.0,87500.0,108800.0
244,2015,Mercedes-Benz,GLA200,used,Automatic,1.6,82500.0,98500.0
245,2015/2016,Peugeot,5008,used,Automatic,1.6,137500.0,27800.0
246,2018,Nissan,Serena,used,Automatic,2.0,82500.0,81800.0
247,2017,BMW,X5,used,Automatic,2.0,77500.0,92800.0
248,2017,Kia,Cerato,used,Automatic,1.6,117500.0,49800.0
249,2015/2016,Volkswagen,Jetta,used,Automatic,1.4,77500.0,27888.0
250,2018,Mercedes-Benz,C350 e,used,Automatic,2.0,87500.0,109800.0
251,2018,Peugeot,3008,used,Automatic,1.6,97500.0,63999.0
252,2017,Kia,Rio,used,Automatic,1.4,77500.0,22999.0
253,2013,Subaru,XV,used,Automatic,2.0,92500.0,28700.0
254,2014,Mazda,6,used,Automatic,2.0,92500.0,41999.0
255,2015,Mazda,6,used,Automatic,2.0,97500.0,62999.0
256,2014,Mitsubishi,ASX,used,Automatic,2.0,97500.0,35999.0
257,2016,Mazda,6,used,Automatic,2.0,87500.0,59999.0
258,2015,Honda,Civic,used,Automatic,1.8,87500.0,52800.0
259,2019,Perodua,AXIA,used,Automatic,1.0,87500.0,28800.0
260,2018,Toyota,Hilux,used,Automatic,2.4,87500.0,90800.0
261,2015,Honda,City,used,Automatic,1.5,87500.0,45800.0
262,2014,Proton,Saga,used,Automatic,1.3,97500.0,15800.0
263,2013,Perodua,Alza,used,Automatic,1.5,142500.0,27000.0
264,2013,Mazda,6,used,Automatic,2.5,95965.0,49700.0
265,2019,Toyota,Vellfire,used,Automatic,2.5,57500.0,218800.0
266,2013,Land,Rover Range Rover Evoque,used,Automatic,2.0,67500.0,88000.0
267,2013,BMW,520i,used,Automatic,2.0,87500.0,63000.0
268,2017/2018,BMW,530i,used,Automatic,2.0,102500.0,139900.0
269,2015,Subaru,XV,used,Automatic,2.0,77500.0,37800.0
270,2012/2013,nan,,used,Automatic,1.8,87500.0,42800.0
271,2019,Toyota,Vellfire,used,Automatic,2.5,27500.0,247888.0
272,2019,Toyota,Vellfire,used,Automatic,2.5,32500.0,238888.0
273,2019,Mercedes-Benz,C200,used,Automatic,1.5,92500.0,142000.0
274,2013,Honda,Civic,used,Automatic,2.0,102500.0,39800.0
275,2015,Honda,HR-V,used,Automatic,1.8,102500.0,49800.0
276,2014,Volkswagen,Jetta,used,Automatic,1.4,92500.0,26800.0
277,2016,Mazda,2,used,Automatic,1.5,87500.0,46800.0
278,2014,Mazda,CX-5,used,Automatic,2.0,97500.0,53800.0
279,2017,Perodua,Bezza,used,Automatic,1.3,112500.0,32800.0
280,2014,Nissan,Sylphy,used,Automatic,1.8,122500.0,35800.0
281,2017,Honda,CR-V,used,Automatic,1.5,87500.0,98800.0
