,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,year_extracted,old_price
3115,2024,Perodua,Myvi,New,Automatic,1.5,2499.5,2025,59610
3116,2022,Mercedes,,Recon,Automatic,1.3,22499.5,2025,235000
3117,2020,Toyota,Roomy,Recon,Automatic,1,2499.5,2025,93000
3118,2020,Land,Rover,Recon,Automatic,2,37499.5,2025,258000
3119,2017,Toyota,Vellfire,Used,Automatic,2.5,67499.5,2025,159900
3120,1995,Mercedes,,Used,Automatic,2,154999.5,2025,29500
3124,2020,Mercedes,,Used,Automatic,2,7499.5,2025,299999
3125,2017,Honda,Accord,Used,Automatic,2,104999.5,2025,76800
3126,2010,Toyota,Vellfire,Used,Automatic,2.4,124999.5,2025,68800
3127,2020,Porsche,911,Recon,Automatic,3,22499.5,2025,768000
3128,2023,Nissan,Serena,Used,Automatic,2,42499.5,2025,113600
3129,2017,Mercedes,,Used,Automatic,3.5,87499.5,2025,106800
3130,2020,Toyota,Hilux,Used,Automatic,2.4,134999.5,2025,79800
3131,2015,Proton,Saga,Used,Automatic,1.3,134999.5,2025,9800
3133,2020,Honda,Hr-V,Used,Automatic,1.8,52499.5,2025,72800
3134,2016,Honda,City,Used,Automatic,1.5,72499.5,2025,45800
3135,2013,Proton,Inspira,Used,Automatic,2,144999.5,2025,29800
3136,2022,Perodua,Myvi,Used,Automatic,1.5,37499.5,2025,48800
3137,2013,Toyota,Wish,Used,Automatic,1.8,134999.5,2025,56800
3138,2023,Perodua,Axia,Used,Automatic,1,2499.5,2025,44988
3139,2015,Mazda,Cx-5,Used,Automatic,2,144999.5,2025,39500
3140,2010,Perodua,Myvi,Used,Automatic,1.3,104999.5,2025,13800
3141,2017,BMW,F48,Used,Automatic,2,87499.5,2025,69900
3142,2015,Honda,Accord,Used,Automatic,2,97499.5,2025,43800
3143,2018,Honda,City,Used,Automatic,1.5,77499.5,2025,47800
3144,2012,Volkswagen,Cc,Used,Automatic,1.8,104999.5,2025,29800
3145,2008,Toyota,Vios,Used,Automatic,1.5,114999.5,2025,15800
3146,2012,Hyundai,Grand,Used,Automatic,2.5,124999.5,2025,34800
3147,2013,Perodua,Myvi,Used,Automatic,1.3,87499.5,2025,19800
3149,2020,Mercedes,,Recon,Automatic,2,27499.5,2025,183000
3150,2021,Porsche,Taycan,Recon,Automatic,10,22499.5,2025,343000
3151,2021,Porsche,Taycan,Recon,Automatic,10,32499.5,2025,343000
